9.999998219129626609e-01,1.054188403559928406e-04,5.874188548372213329e-04,6.973943346713806779e-02
-1.060293927560558520e-04,9.999994541531823655e-01,1.039447500047192005e-03,1.613383840085844774e-03
-5.873089568464429349e-04,-1.039509598599538303e-03,9.999992872437378777e-01,4.306617724708356604e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999994893777461868e-01,6.181587047677764458e-05,1.008673904468329954e-03,7.460032337010098769e-02
-6.337528357307837168e-05,9.999988028642797788e-01,1.546044495202049179e-03,9.024013557858156370e-03
-1.008577126862501925e-03,-1.546107630752052492e-03,9.999982961602352782e-01,4.388029060153714189e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999994859549389270e-01,-2.717561435313993427e-05,1.013583417410506959e-03,7.734269429032528120e-02
2.567818471241549896e-05,9.999989083944559320e-01,1.477345771148023826e-03,4.151756162514918559e-03
-1.013622458756171987e-03,-1.477318984743512678e-03,9.999983950477764338e-01,4.021658349372666391e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999995768205892643e-01,-3.729008240376825424e-05,9.192214597803122526e-04,7.931791727111688062e-02
3.578447239706103201e-05,9.999986580322062224e-01,1.637880721615627474e-03,4.195335635861002430e-03
-9.192813029217944019e-04,-1.637847134643274395e-03,9.999982361877692849e-01,3.944761089045099173e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999998914891932156e-01,1.916189561446869790e-04,4.246219233241413458e-04,7.854133930704415567e-02
-1.922104588957201476e-04,9.999990107345759771e-01,1.393407696656842609e-03,6.888519324448696274e-03
-4.243544999320368995e-04,-1.393489162231788259e-03,9.999989390550438895e-01,3.335241875026707242e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999996231080490183e-01,5.787992898600177655e-06,8.681879168421300762e-04,7.990053353426475324e-02
-7.233797031467751095e-06,9.999986133299578750e-01,1.665318538183431247e-03,5.104225143863889112e-03
-8.681770741000818976e-04,-1.665324190833454218e-03,9.999982364803987611e-01,3.652884564617622787e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.999863874991394841e-01,-5.153272920685367763e-03,8.176763576702107596e-04,2.477540042328196523e-01
5.151592451359703929e-03,9.999846411700162863e-01,2.044142678228280056e-03,-1.892443422746457604e-01
-8.281978242277825142e-04,-2.039902516982484721e-03,9.999975764401058953e-01,-9.678040424834159772e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.998078477606170411e-01,-1.960177209343826749e-02,-1.951591140671196612e-04,7.238639393837268399e-01
1.960190126211396738e-02,9.998076306125065482e-01,6.835465720342140958e-04,-7.517806844772142449e-01
1.817228473076171278e-04,-6.872407167140204753e-04,9.999997473384701907e-01,-1.531779586463214160e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.990384625204529190e-01,-4.382815836409013899e-02,1.114871822999382103e-03,1.483991007452438282e+00
4.382601670794808446e-02,9.990374135792988719e-01,1.877905295663460103e-03,-1.640816141543322670e+00
-1.196103793212842208e-03,-1.827239228196648460e-03,9.999976152634159066e-01,-3.620031529439116103e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.970903927259668897e-01,-7.622358788098566873e-02,8.446207000944816554e-04,2.497632692592890002e+00
7.622186747103650017e-02,9.970890525448921071e-01,1.910029936232368478e-03,-2.817042866411212376e+00
-9.877513883167314546e-04,-1.840093932170389817e-03,9.999978191983799336e-01,-6.569489155223333654e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.933938215747780687e-01,-1.147526283492316668e-01,7.413123505851102520e-04,3.757973102413857625e+00
1.147511743824507768e-01,9.933926849206564658e-01,1.772434477710341152e-03,-4.247492933808234561e+00
-9.398057812066448833e-04,-1.675658996489714971e-03,9.999981544643076203e-01,-1.016642649470790305e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.869174268169000896e-01,-1.612247188638612772e-01,7.633297962687786518e-04,5.242345384890313653e+00
